iter	Logloss
0	0.4532896924
1	0.254398079
2	0.1532731923
3	0.08945950154
4	0.05240408255
5	0.04019790036
6	0.02977177947
7	0.02041850294
8	0.01617636925
9	0.01310390576
10	0.009617806638
11	0.008167779946
12	0.004607541686
13	0.004061109885
14	0.003094212566
15	0.002798041005
16	0.002533485454
17	0.002176934228
18	0.001455181393
19	0.001059284119
20	0.0009704672247
21	0.0009027493828
22	0.0007073041765
23	0.0006092517148
24	0.0004683432348
25	0.0004350021445
26	0.0003898855992
27	0.000330531877
28	0.000310216439
29	0.000292707745
30	0.0002799576492
31	0.0002744045552
32	0.0002584758907
33	0.0002424855539
34	0.0002227647596
35	0.0002179063357
36	0.0002136630382
37	0.0002078911211
38	0.0002047006964
39	0.0001943413575
40	0.0001943413575
41	0.0001909461183
42	0.0001909461183
43	0.0001909408601
44	0.0001878011118
45	0.0001878011118
46	0.000175126831
47	0.000175126831
48	0.000175126831
49	0.0001651998679
50	0.0001620036528
51	0.0001620036528
52	0.0001620036528
53	0.0001620036528
54	0.0001620036528
55	0.0001591622411
56	0.0001590635351
57	0.000156739511
58	0.000156739511
59	0.000156739511
60	0.0001566971272
61	0.0001566971272
62	0.0001566971272
63	0.0001541321043
64	0.0001540595958
65	0.0001540595958
66	0.0001540595958
67	0.0001541196925
68	0.0001541196925
69	0.0001502048244
70	0.0001465517947
71	0.0001467437383
72	0.0001467437383
73	0.0001467171809
74	0.0001346460113
75	0.0001345873351
76	0.0001347178554
77	0.0001345936905
78	0.0001317302404
79	0.0001317302404
80	0.0001223590602
81	0.0001140435275
82	0.0001141487768
83	0.0001143194924
84	0.0001141323113
85	0.0001141318176
86	0.0001141318176
87	0.0001141318176
88	0.0001141318176
89	0.000114262591
90	0.000114262591
91	0.0001140685503
92	0.0001140685503
93	0.0001140685503
94	0.0001140685503
95	0.0001140685503
96	0.0001143290367
97	0.0001143290367
98	0.0001141578097
99	0.0001141578097
100	0.0001141352357
101	0.0001141674465
102	0.0001141674465
103	0.0001140400475
104	0.0001140845568
105	0.0001140845568
106	0.0001140845568
107	0.0001140845568
108	0.0001141351361
109	0.0001141351361
110	0.0001141351361
111	0.0001140150286
112	0.0001140150286
113	0.0001140150286
114	0.000114090919
115	0.000114090919
116	0.0001141232914
117	0.0001142016677
118	0.0001142016677
119	0.0001142278477
120	0.0001142278477
121	0.0001142011004
122	0.0001142011004
123	0.0001121682515
124	0.000112010456
125	0.000112010456
126	0.000112010456
127	0.0001120209935
128	0.0001121518508
129	0.000111960052
130	0.000111960052
131	0.0001099393384
132	0.0001099393384
133	0.0001099223672
134	0.0001076889858
135	0.0001078011395
136	0.0001075984247
137	0.0001077418799
138	0.0001077418799
139	0.0001078134257
140	0.0001077291124
141	0.0001076569008
142	0.0001076569008
143	0.0001077191124
144	0.0001075687609
145	0.0001076712969
146	0.0001077731523
147	0.0001077731523
148	0.0001078862373
149	0.0001078176345
150	0.0001077966762
151	0.0001076431724
152	0.0001076968873
153	0.0001076449079
154	0.0001076813456
155	0.0001077386221
156	0.0001075790813
157	0.0001075790813
158	0.0001077265597
159	0.0001076438068
160	0.0001076860755
161	0.0001075692473
162	0.0001075527151
163	0.0001075830076
164	0.0001075830076
165	0.0001075830076
166	0.000107739564
167	0.0001078322969
168	0.0001076640534
169	0.0001076640534
170	0.0001076640534
171	0.0001076999783
172	0.0001076071025
173	0.0001077250067
174	0.0001075745522
175	0.0001076321737
176	0.0001076321737
177	0.0001076321737
178	0.0001077133591
179	0.0001077133591
180	0.0001075901588
181	0.0001075901588
182	0.0001075901588
183	0.0001075901588
184	0.0001076365398
185	0.0001076365398
186	0.0001076365398
187	0.0001076365398
188	0.0001076365398
189	0.0001076197946
190	0.0001076275477
191	0.0001076275477
192	0.0001076275477
193	0.0001076275477
194	0.0001076584593
195	0.0001076584593
196	0.0001076584593
197	0.0001076584593
198	0.0001076584593
199	0.0001076584593
